"count"	"track name"	"track mbid"	"artist name"	"artist mbid"	"uncorrected track name"	"uncorrected track mbid"	"uncorrected artist name"	"uncorrected artist mbid"	"album name"	"album mbid"	"album artist name"	"album artist mbid"
"1"	"No. 6 in D minor"	""	"Johann Sebastian Bach"	"24f1766e-9635-4d58-a4d4-9413f9f98a4c"	"No. 6 in D minor"	""	"Bach, Johann Sebastian"	""	"Bach: The Well-tempered Clavier: Mieczyslaw Horszowski"	""	"Bach, Johann Sebastian"	""
"1"	"Variatio IV A 1 Clavier"	""	"Johann Sebastian Bach"	"24f1766e-9635-4d58-a4d4-9413f9f98a4c"	"Variatio IV A 1 Clavier"	""	"Bach, Johann Sebastian"	""	"Glenn Gould: Goldberg Variations BWV 988"	""	"Bach, Johann Sebastian"	""
"1"	"No. 5 in D major"	""	"Johann Sebastian Bach"	"24f1766e-9635-4d58-a4d4-9413f9f98a4c"	"No. 5 in D major"	""	"Bach, Johann Sebastian"	""	"Bach: The Well-tempered Clavier: Mieczyslaw Horszowski"	""	"Bach, Johann Sebastian"	""
"1"	"No.15 in G Major(Fugue)"	""	"Johann Sebastian Bach"	"24f1766e-9635-4d58-a4d4-9413f9f98a4c"	"No.15 in G Major(Fugue)"	""	"Bach, Johann Sebastian"	""	"Bach: The Well-tempered Clavier: Mieczyslaw Horszowski"	""	"Bach, Johann Sebastian"	""
"1"	"No.21 in B-Flat Major(Fugue)"	""	"Johann Sebastian Bach"	"24f1766e-9635-4d58-a4d4-9413f9f98a4c"	"No.21 in B-Flat Major(Fugue)"	""	"Bach, Johann Sebastian"	""	"Bach: The Well-tempered Clavier: Mieczyslaw Horszowski"	""	"Bach, Johann Sebastian"	""
"1"	"We Are Rockstars"	"5d0b532b-da9e-4a2b-b806-c75ecf044c93"	"Does It Offend You, Yeah?"	"0aeeacf7-21aa-4f1b-865c-273611b65b63"	"We Are Rockstars"	"5d0b532b-da9e-4a2b-b806-c75ecf044c93"	"Does It Offend You, Yeah?"	"0aeeacf7-21aa-4f1b-865c-273611b65b63"	"Lights In The Sky: Over North America 2008 Tour Sampler"	""	"Does It Offend You, Yeah?"	"0aeeacf7-21aa-4f1b-865c-273611b65b63"
"1"	"Variatio VII A 1 Ovvero 2 Clavier Al Tempo Di Giga"	""	"Johann Sebastian Bach"	"24f1766e-9635-4d58-a4d4-9413f9f98a4c"	"Variatio VII A 1 Ovvero 2 Clavier Al Tempo Di Giga"	""	"Bach, Johann Sebastian"	""	"Glenn Gould: Goldberg Variations BWV 988"	""	"Bach, Johann Sebastian"	""
"1"	"Variatio III Canone All'unisono A 1 Clavier"	""	"Johann Sebastian Bach"	"24f1766e-9635-4d58-a4d4-9413f9f98a4c"	"Variatio III Canone All'unisono A 1 Clavier"	""	"Bach, Johann Sebastian"	""	"Glenn Gould: Goldberg Variations BWV 988"	""	"Bach, Johann Sebastian"	""
"1"	"A Warm Place (Stella Soleil mix)"	""	"Nine Inch Nails"	"b7ffd2af-418f-4be2-bdd1-22f8b48613da"	"A Warm Place (Stella Soleil mix)"	""	"Nine Inch Nails"	"b7ffd2af-418f-4be2-bdd1-22f8b48613da"	"Unreleased"	""	"Nine Inch Nails"	"b7ffd2af-418f-4be2-bdd1-22f8b48613da"
"1"	"Variatio XV Canone Alla Quinta: Andante A 1 Clavier"	""	"Johann Sebastian Bach"	"24f1766e-9635-4d58-a4d4-9413f9f98a4c"	"Variatio XV Canone Alla Quinta: Andante A 1 Clavier"	""	"Bach, Johann Sebastian"	""	"Glenn Gould: Goldberg Variations BWV 988"	""	"Bach, Johann Sebastian"	""
"1"	"Variatio XXVI A 2 Clavier"	""	"Johann Sebastian Bach"	"24f1766e-9635-4d58-a4d4-9413f9f98a4c"	"Variatio XXVI A 2 Clavier"	""	"Bach, Johann Sebastian"	""	"Glenn Gould: Goldberg Variations BWV 988"	""	"Bach, Johann Sebastian"	""
"1"	"Variatio XVI Ouverture A 1 Clavier"	""	"Johann Sebastian Bach"	"24f1766e-9635-4d58-a4d4-9413f9f98a4c"	"Variatio XVI Ouverture A 1 Clavier"	""	"Bach, Johann Sebastian"	""	"Glenn Gould: Goldberg Variations BWV 988"	""	"Bach, Johann Sebastian"	""
"1"	"No.16 in G Minor(Prelude)"	""	"Johann Sebastian Bach"	"24f1766e-9635-4d58-a4d4-9413f9f98a4c"	"No.16 in G Minor(Prelude)"	""	"Bach, Johann Sebastian"	""	"Bach: The Well-tempered Clavier: Mieczyslaw Horszowski"	""	"Bach, Johann Sebastian"	""
"1"	"No.19 in A Major(Fugue)"	""	"Johann Sebastian Bach"	"24f1766e-9635-4d58-a4d4-9413f9f98a4c"	"No.19 in A Major(Fugue)"	""	"Bach, Johann Sebastian"	""	"Bach: The Well-tempered Clavier: Mieczyslaw Horszowski"	""	"Bach, Johann Sebastian"	""
"1"	"No. 13 in F-sharp Major"	""	"Johann Sebastian Bach"	"24f1766e-9635-4d58-a4d4-9413f9f98a4c"	"No. 13 in F-sharp Major"	""	"Bach, Johann Sebastian"	""	"Bach: The Well-tempered Clavier: Mieczyslaw Horszowski"	""	"Bach, Johann Sebastian"	""
"1"	"No.15 in G Major(Prelude)"	""	"Johann Sebastian Bach"	"24f1766e-9635-4d58-a4d4-9413f9f98a4c"	"No.15 in G Major(Prelude)"	""	"Bach, Johann Sebastian"	""	"Bach: The Well-tempered Clavier: Mieczyslaw Horszowski"	""	"Bach, Johann Sebastian"	""
"1"	"No.20 in A Minor(Prelude)"	""	"Johann Sebastian Bach"	"24f1766e-9635-4d58-a4d4-9413f9f98a4c"	"No.20 in A Minor(Prelude)"	""	"Bach, Johann Sebastian"	""	"Bach: The Well-tempered Clavier: Mieczyslaw Horszowski"	""	"Bach, Johann Sebastian"	""
"1"	"No.21 in B-Flat Major(Prelude)"	""	"Johann Sebastian Bach"	"24f1766e-9635-4d58-a4d4-9413f9f98a4c"	"No.21 in B-Flat Major(Prelude)"	""	"Bach, Johann Sebastian"	""	"Bach: The Well-tempered Clavier: Mieczyslaw Horszowski"	""	"Bach, Johann Sebastian"	""
"1"	"No. 4 in C-sharp Minor"	""	"Johann Sebastian Bach"	"24f1766e-9635-4d58-a4d4-9413f9f98a4c"	"No. 4 in C-sharp minor"	""	"Bach, Johann Sebastian"	""	"Bach: The Well-tempered Clavier: Mieczyslaw Horszowski"	""	"Bach, Johann Sebastian"	""
"1"	"No. 8 in E-flat minor/D-sharp minor"	""	"Johann Sebastian Bach"	"24f1766e-9635-4d58-a4d4-9413f9f98a4c"	"No. 8 in E-flat minor/D-sharp minor"	""	"Bach, Johann Sebastian"	""	"Bach: The Well-tempered Clavier: Mieczyslaw Horszowski"	""	"Bach, Johann Sebastian"	""
"1"	"No.14 in F-Sharp Minor(Prelude)"	""	"Johann Sebastian Bach"	"24f1766e-9635-4d58-a4d4-9413f9f98a4c"	"No.14 in F-Sharp Minor(Prelude)"	""	"Bach, Johann Sebastian"	""	"Bach: The Well-tempered Clavier: Mieczyslaw Horszowski"	""	"Bach, Johann Sebastian"	""
"1"	"No.17 in A-Flat Major(Fugue)"	""	"Johann Sebastian Bach"	"24f1766e-9635-4d58-a4d4-9413f9f98a4c"	"No.17 in A-Flat Major(Fugue)"	""	"Bach, Johann Sebastian"	""	"Bach: The Well-tempered Clavier: Mieczyslaw Horszowski"	""	"Bach, Johann Sebastian"	""
"1"	"No. 3 in C-sharp Major"	""	"Johann Sebastian Bach"	"24f1766e-9635-4d58-a4d4-9413f9f98a4c"	"No. 3 in C-sharp Major"	""	"Bach, Johann Sebastian"	""	"Bach: The Well-tempered Clavier: Mieczyslaw Horszowski"	""	"Bach, Johann Sebastian"	""
"1"	"No.24 in B Minor(Fugue)"	""	"Johann Sebastian Bach"	"24f1766e-9635-4d58-a4d4-9413f9f98a4c"	"No.24 in B Minor(Fugue)"	""	"Bach, Johann Sebastian"	""	"Bach: The Well-tempered Clavier: Mieczyslaw Horszowski"	""	"Bach, Johann Sebastian"	""
"1"	"No.19 in A Major(Prelude)"	""	"Johann Sebastian Bach"	"24f1766e-9635-4d58-a4d4-9413f9f98a4c"	"No.19 in A Major(Prelude)"	""	"Bach, Johann Sebastian"	""	"Bach: The Well-tempered Clavier: Mieczyslaw Horszowski"	""	"Bach, Johann Sebastian"	""
